id,ha_text,ig_text,ha_ig_text
2409,allah ka qara isarma musulunci da musulmai,nwanne m onye ngwori,
2410,mun yarda da allah,chukwu agozigo gi    np  nightcafe       trendingtuesday,
2411,idan har kana daga cikin wayanda iftila in gobara ta shafa yau a sokoto toh kashiga ka karanta yanda zaka samu tallafin kudi daga gwamnan kebbi alh atiku bagudu,nnanyelugo bu asampete nwanyi oma  chai    god epp me,
2412,congratulations as dr  allah yakarawa rayuwa albarka,happy birthday chukwuemeka chukwu gozie gi nwannem,
2413,allah sarki zainab    allah ya qara kiyaye gaba,praise eze ndi eze idi egwu o onye n abia ozor idi egwu  thelovechannelsng  sundays  gratefulness,
2414,toh sannun ku da kokari,ututu oma bros,
2415,congrat   kina wuta yarinya,anya m abuo ahuwo oluebube gi chineke  imela   imela  anya m abuo ahuwo ebube gi chineke  olu aka gi di nma      dancingmoodpleasejoinme,
2416,allah dai yabiya lallai kam babu shakka wannan abin koyine ga  an baya    nima sanata idan nasamo nawa kaine zaka mata walicci,mma mma na mma mma d r  g  na  b ch  taa hazie ubochi  ma nne ezigbo nwanyi  cha any  ji eme  n,
2417,tuna shi da son annabi saw a ko da yaushe yana nunawa kuma koda a gurin sanaar shi   wannan shine babbar nieema allah yaji qansa da rahma yasa ya huta,nwaoma ka chukwu gozie na chebe gi  happy birthday,
2418,allah ya jikan dikko inde   tabbas katsinawa munyi babban rashi,eddi onye ego,
2419,hahaha u are still a learner   ki komai ba komai wannan gurin jindadi ne ya kamata ki jidadi ramatu,eze ndieze idi egwo onye nabia ozo onyedikagi onyedikachukwu omalecha agwuanechemba bulie ya  elu bulie jesus  elu bulie ya  elu bulie jesus  elu bulie jesus  elu bulie jesus  elu bulie ya  elu b,
2420,allah ta ala y shiga lamarin,marketmarchogbete bbc igbo news agbalika  ndi nwere nti  nuruzie okwu oma,
2421,allah yakara basira sarki    muna mugun tare,ijele  nwoke oma    ekele,
2422,ameen   director na kwarai kuma dan gaske,echegbuna onwe g  nnukwu ada,
2423,kai allahdai ya kyauta,eziokwu  anyi ahugo na ibu ezigbo nwunye chukwu ji cho ezenwa mma  nya mere si te ugbua ga ba  anyi emela gi onyeisi   president ww      igbo amaka ladies association     olu gi bu igba,
2424,rahama yarinya mai tashe    ina yinki,thank you ndi nke m  chineke di ebube,
2425,innalillahi wa inna ilaihiraji un ya ubangiji ba dan mu ba dan halin mu ba  allah mun tuba ka kawowa kasar mu zaman lfy ya allah ana kashe mutanen da basu ji ba ba su gani ba allah ka sassauta ma,the  vesselsofpraise worships in igbo language singing   chukwu idinma idinma idinma chineke no  nara ekele mgbe nile    vesselsofpraise  spconf2019  day4  beautyforashes,
2426,zamu zo domin ganin oga boss,chukwu nyelu mmadu aka,
2427,allah ya saka muku da alkhairi yasa ku amfana anan da can,np odi nma ibu nke jisus by voice of the cross  messageinthemusic   olufunke   mimilicious  1049smafm 09091111049,
2428,kai allah ya rabamu da jahilce basu ida badai a raba nigeria 3 kuma duk bakin cikin dan kaxa bayanda xai da dan shawo,otu aka chineke anyi n di eh   supersunday  hotrservice,
2429,allah ka kawo muna karshensu a doron kasa    shine addu ar mu insunfi karfii hukuma basu fi karfin allah  s w a        shi zaiyi muna maganinsu,oto osiri masi jehovah      imanma ya imanma ya  imanma ya di ebube     goodbye2019,
2430,tunda iya basilin kike shafawa afuskarki ina sonki zaki aureni   ammafa ni yaro ne bana yarinta ba  sainaji amsata,happy birthday odogwu ka chineke ndu gi ji  chekwaba gi na aka ndi ilo  ogologo ndu and aru ike kam na aro n isi gi  its amazing that my wife gave birth early today  he share you birth date,
2431,ai komaima  ba irinsu mahmud ba dan allah a dawo mana da lukuman,asa    igbo girls buzi omuma asa ahu,
2432,allah ubangiji ya taimaka falalu inayinka wlh dangidana,nne  tuo down na nke m  e ghota ka ife si aga,
2433,in an dache za a samu alheri,nne uche gi di ya  daalu,
2434,rahama kinga wannan shigar da kinkayi da hijab kema kinsan kinfi kamala  abunda kinka sanine komaifa lokacine yake dashi  komai jin dadinka komai tsawon ranka a duniya watarana sai labari    kiyi,nowonlyrical4ces ckay   chukwu ga gozi gi,
2435,allah yakaimu zanzo nakarbi yawon sallah na amma nakeso abani,ori ego n uko ego  abala aba  mbatu ra ahu  ya gaziere gi o  happy birthday,
2436,allah sarki uwa itache jigo  itache keche ma da allah maka albarka    kuma da yardan allah sai kaga albarkan duk wani gata da wani zaima aduniya baikai wanda uwa tayi maka ba allah jikan ki da,e ma oke ihe,
2437,allah ya tsare hanya mr president,odogwu  ndo o    so chukwuma  o ga adiri gi mma  udo di,
2438,ai har murnan tayi yawa  but its ok  sai baba,ihe nile ijere eke na  j  g  nma  oyoyo chukwu  ara ekele any  jiri b a  chioma e chukwu  ma ooo  you re the same god rue mgbe ebigh  ebi    amen amen amen     mercychinwo,
2439,hum allah dai ya kaimu kasa lokaci n a mlaikin billiyan dari n a dollars,omata blood    mazi bu ezigbo onye ime afia,
2440,allah akbar       hannan she akekira musulinchi   dakoma kiyaye dokokin allah   allah yasa hakin yadauree   kar shedan ya shego chekin lamarin,chukwu nna zi mu uzo gi  ewezuga gi gini ka m ga eme,
2441,allah yasa dashi acikin shirin,odi ezigbote egwu nna,
2442,wow   yau anada lokacin fans kenan thank u,onye di ka gi  3x odi ro nye dikagi     thedoves  worship  celebrationservice,
2443,ikon allah knn haka allah yake alamarinsa ya allah ka dubemu da rahma allah muma kayayemana da duniya baki daya ya azizu ya jabbar,eze ndi eze,
2444,may the mighty king  allah  bless ur daily hustle  ubangiji allah ya biya buqatu na alkhairi  blessed,egwu master aka m di na elu,
2445,kai gaskiya shirin yayi sosai,anyi gana agba mbo w r  na eche ubochi oga adi mma,
2446,masha allah fatan allah yakara basu nasara da juriya da hakuri,lol    dalu nwannemus    abum onye igba,
2447,harkin kara kyau for supporting barca,daalu onye oma  this means a lot,
2448,gyada me sihiri abara aga biyu  amurza aga hudu atauna aji mulamulan dadi natashi,abum onye na ina echerem   chukwu oma,
2449,allah yasa hakan ya xamo alkhairi ga alummar da za a mulka,happy birthday nnukwu mmadu na anam   ofu onye ana agwolu ji na ofe mmili  ka chineke gozie taa na ubochi n ile ndu gi,
2450,ahse kema kin sheda xee taji kyau,ozo making ndi igbo proud              bbnaija,
2451,dadina da ayshat buhari tafi mijinta kishin nigeria,nneoma biko yem  r  g  enye meh eg,
2452,ya allah    ka kawo karshen wannan kisa da akeyi a duk wani state allah ameen,nwata di nma on  ogendiigbo w   listen,
2453,allah yasa ayi posting enki maiduguri ko katsina ko zamfara tunda ynxu an koya muku yaqi,nwa malu akwukwo,
2454,kullum se dai ace allah y yafe batare d kuna gyarawa ba domin samun dacewa kawai kuna tsula iya hege da iya hegiya kuce allah ya yafe,mama di mama    n ma gi bu onye obioma,
2455,hakan yayi kyau matuka  naso naijeriya ma zata bi bayan pakistan    wajen aikata hakan,haha  chineke mere umu gi ebere,
2456,allah koh babyn nan kina tsula tsiyafa like that enjoy your time wollah,np     chukwu agozigo gi   by  workchopib w x,
2457,mukan adamawa ba abunda zamuce saboda munsamu canji dari bisa dari   wutan lantarki kam alhamdulillahi cikan hour 24 muna samun na hour 20 zuwa 22 to kunga ba abunda zamuce,iseeii   chukwu gozie gi,
2458,allah ya tsaremu ya kuma karemu baki days,n wanyi oma 1 of lagos and diaspora,
2459,aslm inagaisuwa rahama   yakike ya gida,daalu so nwanne mmadu ka chukwu kwado aka olu anyi  kozie ezi na ulo anyi  ka amara ya bara anyi uba  ka udo chia n ndu anyi,
2460,kai maganace kawai  naje kano da soyayyar wannan yarinyar  amma babu wanda ya kaini sonta ballantana ya fini,np  kpo kpo di kpo   cc  afternoondrive  faajifriday  trafficrequest,
2461,barka kadai fatan alheri,ndi  cha  praising chineke,
2462,man mukiyan ma sai an kara masa kudi  kai  allah yah rufa asiri,eze ndi eze idi egwu onye na abia ozo idi egwu   dcservice  firstservice  praises,
2463,banda hince malam   barka da sallah,igirigi okpokopi 1 na umuahia nshansha mmiri a na aku dodging by jamkpa nke mbu na dplace nwoke bugodu watermelon taaa  shie ishi oma brother happy birthday odogwu nwoke,
2464,kemadai kibi a hankali karki janyowa kanki magana pls   domin ke bakida matsala kinji hajiya fati,ada eji eje mba  ndewo,
2465,allahu akbar allah yayi wa malam rahma  ka mutu annan haryanxu muna tare da muryar ka tamkar kana a raye,chukwu a luka na ndu gi  nne chukwu gozie onye mu ru gi,
2466,aljannah  da mata ta gari,uhuru chi  ma   mar cha nwa,
2467,masha allah   allah yayi jagora  fati,chife  chukwu okike abiama g zie g   mere g  ihe nile  b  n obi  b  r  g  onye izizi na onye ikpeaz,
2468,ki godewa allah   if ur father is nothing a 9ja to ya yan su ma is nothing  yaran su abin da suke yi a   ai yafi wanda kikai   allah ya yimana gafara gaba daya      we are all together,chai my personal support onye nke m ada oma n ohafia oyoyo,
2469,i can t wait  allah ya  ara basira   aukaka da kuma arziki  amin   gidanbadamasi is one of its kind,nk  ah  b  kwa eziokwu,
2470,director abunda yakamata ayi kenan  amma dan allah kada taska ya samu komi,nnoo ogo anyi nwannyi,
2471,kwarai kuwa ko bay hanaba za arage insha allah,sundayafternoonshow w     onye nzoputa,
2472,mude ga munan a sokoto zafi muke ta pama dashi allah ya kawo muna ruwan sama muma me kankaran,je nke bu oma,
2473,gaskiyane   anyin hakan,chai ife oma amaka  nne biko kedu ije,
2474,allah yabaka ikon yin adalci akasa baki daya,oburu n uwa jum eluigwe agaghi ajum memesia  amara nke onye nweanyi diri unu nile,
2475,sarauniya hausa the queen   of hausa movie,ezigbo nwanyi oma,
2476,allah yayi jagora queen   yar sadau,yipeeeeee       thank you so much nne      chukwu gozie gi,
2477,dai daine wlhy may be zai gyra,obi  t  na  nwa  h r  nd  m h r  n anya   igboamaka,
2478,amin sarki muma kaine qwanin mu,yes sir  oduduwa  chukwu gozie gi,
2479,allah ya tabbatar    sorry,repost with repostapp     men na eme ofuma maka na akachukwu di ya    support,
2480,mashaallah allah yakawo mana  karshen wannan mummunar dabi  a  amen,ekwe m na chineke b  nna  nke p r  ime ihe nile  ekwe m na jiz s christ  nan  otu  kpara ya  onye at r  ime site n ike nmuo ns   nwagbo n amagh  nwoke b  meri m r  ya    tara ah h  n  b ch  pontiu,
2481,to fa    allah ya kiyaye gaba,bia ka m nye gi aka,
2482,sora nakii allah ya nuna muna naki musha shagali en bakin ciki su koka,ana kukwa aka ebe a  congrats le boo,
2483,an gaida mallam garbati na baba buhari,ma chukwu diri anyi onye ga eme gide anyi,
2484,gsky hakan yayi kyau,amen    chukwu gozielu m gi  ezigbote mmadu,
2485,mai arzki ko a kwara ya saida ruwa,jisie ike onye m,
2486,ok toh yayi daidai haka mukeso,jehovah onye eze ebere,
2487,gaskiya yau dariya nake sha a app nan   mukam na we be var,i follow back ndi nke m,
2488,allah yasa shi yasi xama alkairi gare ka,cha cha cha cha igbo kwenu   che nu egwu              dcpartynight,
2489,allah ya kare  ya tsare mai girma gwamna,hahahahahaha  odimma oh  chukwu gozie akalaka gi    kedu ebe o di,
2490,wallahi ba za su kirgu ba  kuma na alkhairi  allah ka kara wa buhari lafiya da nisan kwana da imani,ab  m ezigbote onye painter  a na m emekwa wall designs  a na m ere ma na amakwa wallpaper na ahu aja  biko n  ndi awka na ndi enugu unu nyere m aka chota ndi ga enye m  r   okwa so so  r  a,
2491,babu abunda zai same mu sai abunda allah subhanahu wata ala ya rubuta zai auku damu   allah gamu gareka,igbo ndi oma  ututu oma nu  onye nu  ya kolu ibe ya  anyi n apiawa ndi mgbi azu na tuwita aa,
2492,allah ya amsa addu ar mu alhamdulillah,unadeylistento  chukwu agozigo gi   ft  totoriexpress with,
2493,allah ya sakama sojojin nigeria da alheri ya kara tsare mana su,a ga m aturu chineke mma mma onye nwe anyi imela   dcservice  firstservice  worship,
2494,allah yasa muna cikin masu parin ciki dunia da lahira,onabu mgbe ufodu imee ka nwa chineke mgbe ufodu imekanye kwa,
2495,nice   1 best actress inayin ki da fatan kina cikin film din saboda without you no sweet of watching film,the now ministering in songs  singing   mmama ya mmama ya di ebube   fwc  ttc,
2496,masha allah yayi dai dai  haka mukeso  allah yakara mana irinsu diyawa  muma allah ubangiji yabamu dukiya al barka muyi fiyeda wan nan,eze ndi eze i di egu o onye na bia ozo i di egu o   thanksgivingservice  gh outerringrd,
2497,allah kara lafiya,gwogworo   ozo day at brila fm  rewindwithozo ozoemena chukwu,
2498,allah yabaki lafya mamana  yasa kaffarece agareki     i really felt that which you re going through  may allah grant you quick recovery aameen,how nice of you    daalu nna  obi ebere gi di omimi,
2499,allah yaji kansa babu ranar tsayar da lockdown kenan,onye eziokwu ka m b,
2500,dan allah ka daina mana haka mun tuba,r2lunchshow  tbt  qotd np    kpo kpo di w,
2501,a gaisheku bbc hausa da wannan nazari mai zurfi,see my yoruba demon is glowing     chai nwokeoma imara mma  bia kam nye gi nsusu onu,
2502,allah yajikan mallam  yakaramana hakurin rashin ka  kuma ya amfanan damu koyarwanka  yakai haske kabarinka,ahulanum gi  isi gi wu daachii,
2503,innalillahi wa inna ilaihi raji un                          annabi saw  yake cewa idan dai har baku jin kunya  toh kuyi duk abunda kuka gadama  allah ka shiryemu da shiryuwa ka,then a book     ego di mkpa,
2504,lol   to gskya ni ke kadae nake so,nwa mara nma  ego oyibo mu  nne  iwuru phone iwu iphone x max  asa mpete nwayi oma  ujunwa maka n ijuru eju  obi di ya,
2505,mashaallah allah ya sanya alkairi yasa anyi kenan   allah kuma ya basu zaman lafiya,chineke nna zoba mmadu,
2506,glory be to allah 4 u rahama sadau na tau sa yamiki allah ni gun fans din ne,ngwa chukwu i gadi,
2507,allah ya karemu da karewarsa ya yaye mana wannan bala i dan alfarmar manzan allah s a w,ana m ekpuchi   b la m na  bara jiz s,
2508,ameen summa ameen my jaruma,gbam    eziokwu bu ndu   jisike nna,
2509,masha allahu     waya gayamai zai taba dan gatan allah ya zauna lapiya  lmaoo,amen ma  chukwu gozikwa gi,
2510,zan roki allah  swa  ya duba halin da nigeria    take ciki ya kawo mana gyara dan rahamar sa     kafin komai ya biyo baya,jesus bu onye ndu        nzukoumuigbo,
2511,zamusha kallo allah yanuna mn lokacin rahma gsky kundace sai kace ma auratan gaske,odogwu     i zuru k eme,
2512,gsky malam aminu saira ko iya hk akatsaya film yayi ma ana domin bantaba ganin wanda yabirgeniba piyeda wannan musamman ma bayyanar sarkin waka allah yakara basira,ada afa ghi a nwelu weight d  egwu,
2513,allah ya karemu da karewa su kuma allah ya kubutar dasu bisa ikon sa sukuma kidnappers din allah ya shiryasu ya ganar dasu hanya mai kyau,biko no vex  onye wu omalicha nwa  biko kwa,
2514,tabarakallah masha allah  this my sister bata son yimun magana i don t why  am sorry if i sound rough to you,o ihe obu  ezigbo nwa 042,
2515,shugabanni sukoyi yin adalci  rikon amana  hakuri  da sauraren koken talakawa da kuma yi masu hidima banda handama da babakere  allah ya gafarta wa mazan jiya sardauna  sir  ahmadu bello   sir  a,obi  t   b ch   m m  g   ka chineke g zie g  kar a  cubana chiefpriest lagos  nigeria,
2516,allah yasa ya gurfannan  ai ba wanda yafi karfin doka amma bara kuga bazai je ba madadinsa za a tura,amen love    daalu nwoke oma,
2517,bbchausa kuna burgeni,asa nwa di sharp  nwa ara ya na agba ndi mmadu ara   insomnia eji gi,
2518,wannan rayuwar kabi allah daya kace ka  rayuwa nan yau kai ni wataran sai lvr mai hnkl kawai yasan da hk   allah ya qanata da rahama,nwanne di na mba    welldone bro,
2519,allah sarki      muhammad babalala aini na dauka wani tsoho ne  ashe ashe matashi ne  gaskiya kana bamu join  allah yayi maka albarka,onyema    chineke idima    igwe      nolimits  gh outerringrd,
2520,to allah ya bamu abin saya  dama bamu dogara da gwamnati ba  in sungadama suma qara kufin insha allahu zamu siya,onyem     nwanyi oma m ji eme onu  daalu,
2521,allah muna rokanka ka kawo muna karshen wannan bala i  ameen,chukwu melu gi ebele mgbe i ga anata east  i swear n ga agba gi mmaya  make i hear say i no go vomit that day,
2522,allah mai amsar tuba ne ga bayinsa matukar da gaske suke  nematuba,t t  mara gi mma ooooo,
2523,allah ya biyaki lallai taimako ya zama dabi anki   kmr yadda allah swt yace duk wanda ya ciyar da mai azumi abun buda baki allah za ciyar dashi a aljanna  da wannan nake kyautata miki zaton   alj,chukwu gozie gi mmaji puru mmaji,
2524,allah sarki rayuwa kenan allah y jikan malam     y kuma sa aljannace makomarsa y kuma kyauta bayansa mu kuma idan tamu tazo allah y sa mu chika d kyau d imani,jisie ike  aka  j   j  na ebute  n  mman  mman,
2525,na am wannan gaskiya neh malam  allah jikan mahaifa yakara nisan kwana da daukaka aamiin,chineke  nne idi egwu,
2526,congratulations allah yasanya alheri allah ya kawo kasuwa mai albarka allah yasa abude asa a,anyi ekele gi arsene  wenger  ona gumu akwa  mana ka odiba   onceuponatime  thelegendaryofarsenewenger,
2527,allahu akhbar akwai tausayi allah ya karbi tubanki allah yasa aljanna makoma amin,erica nwanyi oma  achala ugo nwanyi  asampete  omalicha nwa di mma  onu gbajie boys  ezigbote nwa anyi ji eme onu  ochi gi na eme ka obi anyi dajuo  ifere ga eme ndi iro gi  jisi ike         bbnaija,
2528,ya allah ka karemu da kariyanka,udo dikwara g  nwanna,
2529,sai ranar da allah yayi domin wannan kasar tamu allah ne kadai zai iya gyaranta,aka aka ya aka jehovah na eme mma olu ebube ya nke na eruari na ebem no      hmpmainservice,
2530,kuma allah ya rabamu da aikata abunda zucuyar mu ta umurcemu,somkelechim aka ya aka ya  aka jehovah n eme nma olu ebube ya  nke n eruhari n ebe mno isi iyi,
2531,amen allah kayafemana badan muba,merry christmas nd  nkem,
2532,gaskiya ansha kyau,awww   chukwu gozie gi,
2533,allah yashiga tsakanin nagari da mugu  allah yasa mufi karfin zuciyarmu ameen,nara ekele       onyedikagi  ekene diri gi onyene mema onyedikagi  ekene diri gi onye nagworia imela  imela   okaka  onyeke,
2534,allah yasa ya musulunta sbd annabi s a w mukuma allah ya kare imaninmu ya dauki rammu cikin addinin musulunci,ihe obula anyi meturu aka g ana amubanye  anyi ga adi ndu rie ugwo oru afufu anyi  umu igbo ekelem unu umunnem ekelem unu ututu oma,
2535,allah ya ji kansa     allah ya jikan tala kawan da suka rasu a yan kwana kin nan tala kawan  katsina kaduna,nwanyi oma  dalu   chukwu gozie gi,
2536,allah yakawo nagari dan karfin salati   rahama,onye isi  ndewo,
2537,oga na allah ya kara kareka amin,nne ehh idikwa hot oo  ocho oku,
2538,hakan zai taimaka ta fuskoki da dama,eziokwu k i na ekwu  onye egwu,
2539,allah yasa na karbi takarduna nagama college kimiyi da fasaha akan lafiya na tsafe a zamfara state     ina kara godiya wa allah da dukkan malamai na,o nwnye onye life  nna mu ochie,
2540,gaskiya yakamata kam,iheanyi opuruiche di na nwoke    deeme nnaa,
2541,allah yayi masa rahma mu kuma allah ya kyauta karshenmu ameen,jisie ike omalicha nwa    i na eme of ma,
2542,ehn  to allah yai mana tsari dasu kasanya sabani tsakanin mu dasu mai nisan gaske,nne imaka  confirm baby oku,
2543,allah y jikan musulman da aka kashe nan gida dama duniya baki 1,ka m via nwanyi oma  idi too much,
2544,allah yasa akalla damu king   and prince,ibu onye di nma onye di nma nara e kele  powerservice  dcservice  midweekservice  dcgwarinpa,
2545,allah y karba yakuma bamu zaman lafiya gabadaya,egwu ndioma  nice one,
2546,ranka yadade brk da wannan loakaci  wai yaushe za afara sakin                 bana bakwai                a youtube mungode     may almighty allah bless you and your family sir      dagani  mba,maka nta vote ka willy ji cho i lepu ndianambara    chukwu mu anya ezigbo ifele ga eme ya,
2547,ya allah kafitar damu acikin wannan hali a kasarmu tana nigeria,onye uwa oma   timeout    wisdomcorner with,
2548,darling sis har kin tunamun da alewar makkah   ga kyau da daraja,onye nkem ka  b  na    ohh nna ohh,
2549,innalillahi  wllh kuji tsoron allah,i called him chi  ma and i m a living proof that everything is mamama he remains the  chi na eme mma chi na aza ekpere chi na egbo mkpa chi ka chi   ji  bara akp  nwa na af    bata o bie   bata ih,
2550,ya subhanalillah    allah ya gafarta mashi yasa ya huta,happy sunday na  ka nn   nd  nn  mama,
2551,kunyi dai dai komai saida shiri,nnoo ada mmadu,
2552,wlh nima dawisu ya birgeni fadar wannan gaskiyar allah dai ya kawomuna sauqi wannan tashin hankalin dake damun mu mu yan arewa ameen ya rabbil alameen,eze umu nwanyi,
2553,allah ya jikanshi da rahama yasa aljanna ce makoman shi ameen,hbd   god bless u more onye egwu  birikwa  thetravelers suru lere  lagos  nigeria,
2554,allah yakawomuna dauki,np kpo ko di kpo       dreamlounge with    nightonderok,
2555,yayi dattijan arziki,mgp gidi gidi b  ugwu eze ch   ewu ojii ka chi d  okuko mmanya na  egbu ahubegh ututuoma,
2556,allah yajikan musulmi  ya gafarta musu  ya rahamshesu yasa sun huta ameen,nan  g  ka m ga efe  you alone will l serve      holyhillworship,
2557,da amana kenan,chukwu onye oru ebube ekenem gi,
2558,allah ya jikansa da rahma allah yasa aljannace makomar sa idan tamu tazo allah yasa mu cika da imani,ana m eme nke  ma  an  m na kaduna,
2559,allah yayi jagora  ya kuma sa albarka,no fall my hand oh  you na nnukwu oga oh,
2560,ikon god sae looking ae daga nan harki kama haska film dinki xaki tah dariya kala kala wancan week din kasuwa tayi miki dadi kinyi dariya da larabci wannan kuma da french next kuma maybe kuma da,na eme ofu ma,
2561,ya subhanallah    allah ya gafarta masu it s really painful,dozie na ar   r  ebube,
2562,mudai yan nigeria allah ya saka mana abinda akeyimana,nna egwu atuna gi      idi capable,
2563,innalillahi wa ina ilaihim raji u     allah yayi muku rahama,nne  chukwu gozie gi  gwa ya,
2564,allah ubangiji ya tarwatsa israel   da masu goya mata baya,flash back saturday np  kpo kpo di kpo liste live,
2565,maganata batada fa ida wa buhari domin yatsara abinda yayi niyya tun a janairu  muna rokon allah yataimakemu yabamu lafiya da zama lafiya,goodmorning ndi nkem,
2566,allah   yafe miki,have not heard from you for sometime now   nwanne   hope gina ezi na ul  gi dikwa oke   ndewoo ogbu efi,
2567,nagode sosai     saura kawai in dauki hoto da ke    i hope that moment will come soonest,ah  onye nkem   merry christmas dear,
2568,wannan haka yake    dama ai wannan shine abinda allah ya umarce mu da mu dingayi  allah yasa mufi karfin zukatan mu amin,onye nwere chineke nwere ihe nile  ubochi oma nu o,
2569,kuma an kammala train lafiya  saura da me  allah ya taimaki shugabanni don su dace a samo mafita da karshen matsalolin tsaro a kasata nijeriya    a m e e n,chukwu ga enyere any  nn   aka,
2570,wow kinyi magana mai kyau fav artist,now on  k anyinoria na oge ndigbo,
2571,allah yakawo mana zaman lafiya a kasarmu nigeria,dike m ji eme  n,
2572,gaskia dai mu dunga kula  don allah ku daina zaginta   yar uwarmu musulma ce fa  gwara ku tayata da addu a mutane baku da wuta baku da aljanna  allah ya shirye mu baki daya  bai kamata ana saka a,dede nwoke ji si ike na olu,
2573,you re always gorgeous  dear ko yan adawar ki ma sun sani,in praise with   jehovah idi egwu   thanksgivingservice  midnightcrewng  businessbishop,
2574,yawwa    dafatan kasha ruwa lpy sir,nwunye gi  maka,
2575,minority ke kuka  majority are still with him  alhamdulillah  kaduna is blessed with hard guys and girls    don allah a cigaba da gasa mana su  suna tare da kai,odogwu  udo diri gi and ndi be gi,
2576,hbd  fatan tsawon rai cikin aminci,blessed people  nd   ma  chukwu g zie unu,
2577,muna da rana a nigerian insha allah  very soon sef,jesus my help      aya   onye inye akam cc,
2578,allahu akbar rayuwa tayi kyau masha allahu,onye isi  dalu sir,
2579,innalillahy wa inna ilaihy raji un    ba asibiti  bare mota da zata kai ka asibiti    abunda bai fi karfin gwamnati jaha ba  allah ya shirya mana shuwagabanni mu,good morning ndi anambra ibem,
2580,barka da sallah sis  allah ya maimata mana,uto uwa  by ah ghetto youths dem umu obiligbo akunwafor obiligbo x okpuozor obiligbo out now   available on all digital platforms    jammest     egwu december                link inna dem bio,
2581,to allah ya za a wa al ummar zamfara nagari,ewooo aha otutu a niile   nkem    dal  nwoke  ma m,
2582,ya allah allah ka kawowa mutanen zamfara daukin gaggawa  kayi musu maganin wannan masifar,mmad  isi d  mma  n  keta   hate ba women,
2583,to wanna cuta sai da muce allah yakaremu da kariyarsa dan alfarman annabi muhammad s a w ameen,jehovah ka m ga fe okosisi na nye nd  ogbara nk t  okwu juru na  n  ya na ni ya ka m ga fe okalae nke bi n igwe mmalite na  gw gw  alpha na omega nan  ya ka m ga fe,
2584,hakan yayi dai dai   a basu ladabi,ikiri k onye ohi mma,
2585,kaii da kyau,oshey baddest nwanyi oma,
2586,allah muna rokonka albarka cin wannan watan na ramadan ya allah ka tsarwatsasu,np meta onye di nma enyi by show promoter  songrequestshow with olayinka  1049smafm 08093331067 09091111049,
2587,allah yajikan chairman yakuma sa ya huta ameen we will never forget with this superhero of all hausa movies,buru ekene fada fada aaaaa ghetto gospel nwanne m baddoooo,
2588,so heart touching story  kuma abin da xai baka ciwo da mutane shine  yanxu wanda suka guje ta a baya xasu fara dawowa sabida ta fara samun nakanta  allah ya sa albarka a kasuwancin ki  yar uwa,happy birthday agbogidi  igwe ndi igwe  eze ndi eze  obi of onicha   obi of igboland   ofala okagbue    ogbu onye mbosi ndu na atoya uto   may you reign longer than your ancestors  may you reign f,
2589,allah ya waddan wanga cikaba babu    allah ya kara tsarewa,chukwu gozibe gi,
2590,inna lillahi wa inna ilaihi raji un   mudai muna ganin jarabawa a wannan kasa ya allah ka kawo mana dauki,otutu oma  igbotwitter    ya gazie unu  na ihenile di nma unu tiri akaunu ta otito dinigwe ga enye unu mbada ngozi    ise    highpriestessofimostate  ezenwanyichineke  imosown  proudlyigbo  igboam,
2591,wannan ay ta cancanta,mpa ego oyibo eru go g   ka site ni  ke nke chineke,
2592,amin allah yasa muyi kyakykyawan karshe,ka chukwu gozie mmadu nile na agba mbo ifu na asusu igbo efughi efu ekpere m taa bu ka chukwu choro unu nile one one biiiiiiiiii      igbotwittercommunity,
2593,wanan gaskiya ne   the unlimited talent,posh nwa nne     baby rocker  nke gi amaka,
2594,well done    ogan saura kuma total lockdown  allah ya tsare mu baki daya,nwa di obi mma,
2595,allah dai ya biya baba hkuri kkeyi dasu kenn,jesus by onye du,
2596,allah ya kaimu sarki babban dodo gwanki kaci maharba,otito diri chineke n elu kacha elu,
2597,allah sarki  allah ya yaye muku wannan ciwon  kuma masu yaudaranku sabida wannan ciwon su sani suma ba dabararsu ce tasa suke da lafiya  allah yasa jinyarku ya zamo muku kaffara  allah yasa ya za,ijikwa ezigbo point,
2598,natsuwarsa  sanin yakamatarsa  sa annan tawakkalinsa  wanda muna kyautata zaton shine zeyi nasara akarshe   bm,amen  nwoke oma dal,
2599,allah ya raba ki da masu dogon hannu,ututu oma nu ndi ibe  afor t t   fotara anyi ife oma      biafra  2020weddings  mbidoigbo  anambraweddings,
2600,allah ya ja zamanin prince,nwanyi amusiri ike,
2601,kumafa wannan abune mai kyau  domin nigeria tanada kwararrun sojoji domin munga aikinsu a laberiya da kuma yadda suka murkushe boko haram da kuma masu garkuwa da mutane da  yan fashin daji,i no b oyibo ooo  a bu m ada igbo,
2602,allah ya qara lafia da daukaka shehi,ehhhh b bu nwoke  ma osiso,
2603,wanan abu yayi kyau duk wani iya hege yana tweeter hakan bai isa ba sai da kuka kai buhari bango,m  nwany  anambra anagh  a cho mm  n ihi na mma b  n ime ha  a pu na anw  oyoyo m elemele ji olu    dozi ak  akwa nwa  ebube nna ya omalicha nwa asa ugo m ugo nne ya chaaaaiiiiiii  i gbakashiala,
2604,hhhhhh anayi munajin dadi,lmao  abum kwanum ezigbo mmadu,
2605,ai indae har akwai wani magani na so  to bae wuce hakuri bah,nna ehnnn        onye nwe anyi a ma kwe ka ndi iro chia men  ch,
